"Executed Date","BOROUGH","count"
"08/20/2024","BRONX","27"
"10/15/2024","BRONX","44"
"07/06/2023","BRONX","31"
"10/29/2018","STATEN ISLAND","4"
"03/09/2018","QUEENS","18"
"01/12/2021","QUEENS","1"
"07/19/2018","BRONX","42"
"09/21/2022","QUEENS","6"
"10/11/2023","BROOKLYN","28"
"09/06/2022","MANHATTAN","11"
"10/03/2025","QUEENS","11"
"11/13/2017","QUEENS","22"
"06/30/2025","BROOKLYN","37"
"10/13/2022","MANHATTAN","9"
"07/11/2023","BROOKLYN","9"
"10/27/2017","STATEN ISLAND","2"
"02/14/2025","STATEN ISLAND","3"
"12/21/2023","QUEENS","1"
"03/30/2017","QUEENS","8"
"05/09/2017","BRONX","36"
"05/08/2018","STATEN ISLAND","3"
"09/11/2019","STATEN ISLAND","3"
"02/08/2019","MANHATTAN","11"
"08/27/2024","QUEENS","2"
"03/13/2019","BROOKLYN","24"
"11/10/2022","QUEENS","3"
"10/29/2018","BRONX","14"
"07/14/2022","QUEENS","3"
"07/18/2025","BROOKLYN","21"
"08/02/2018","BROOKLYN","5"
"03/25/2024","BRONX","6"
"01/03/2022","QUEENS","2"
"11/16/2023","BROOKLYN","4"
"02/15/2024","BROOKLYN","27"
"01/04/2023","STATEN ISLAND","2"
"11/18/2024","MANHATTAN","6"
"07/01/2022","QUEENS","4"
"01/05/2017","QUEENS","27"
"03/27/2017","MANHATTAN","7"
"04/04/2023","BROOKLYN","23"
"09/07/2023","QUEENS","1"
"07/24/2023","BRONX","9"
"06/20/2024","BROOKLYN","8"
"12/05/2024","BRONX","26"
"12/07/2017","BRONX","45"
"10/16/2019","BROOKLYN","33"
"11/09/2017","MANHATTAN","9"
"11/20/2024","QUEENS","13"
"08/11/2025","BRONX","6"
"01/20/2017","STATEN ISLAND","2"
"03/26/2019","MANHATTAN","13"
"06/12/2024","STATEN ISLAND","6"
"04/03/2017","BROOKLYN","38"
"03/24/2017","BRONX","26"
"06/26/2017","BROOKLYN","24"
"04/14/2022","BROOKLYN","7"
"08/22/2025","QUEENS","8"
"05/24/2023","BROOKLYN","21"
"12/15/2022","BRONX","2"
"07/23/2018","STATEN ISLAND","3"
"05/12/2025","MANHATTAN","5"
"07/10/2019","STATEN ISLAND","11"
"04/26/2024","BROOKLYN","20"
"08/29/2022","MANHATTAN","1"
"06/06/2018","QUEENS","5"
"10/08/2025","BROOKLYN","22"
"09/21/2022","MANHATTAN","3"
"07/24/2023","QUEENS","17"
"06/29/2017","STATEN ISLAND","5"
"12/05/2023","MANHATTAN","18"
"06/20/2017","BRONX","34"
"03/31/2017","STATEN ISLAND","1"
"10/17/2019","MANHATTAN","10"
"11/06/2023","MANHATTAN","14"
"07/11/2024","MANHATTAN","28"
"07/11/2024","STATEN ISLAND","5"
"05/09/2019","BRONX","38"
"08/29/2024","BRONX","25"
"01/10/2022","QUEENS","2"
"05/28/2019","STATEN ISLAND","1"
"07/17/2023","BRONX","18"
"03/10/2025","BROOKLYN","24"
"08/12/2019","BROOKLYN","21"
"09/28/2017","MANHATTAN","15"
"07/13/2018","QUEENS","20"
"07/03/2025","MANHATTAN","6"
"02/20/2025","MANHATTAN","6"
"10/28/2022","BRONX","10"
"12/02/2019","BROOKLYN","31"
"06/11/2024","MANHATTAN","23"
"06/28/2023","BROOKLYN","25"
"04/03/2018","QUEENS","5"
"09/11/2025","STATEN ISLAND","3"
"07/15/2019","MANHATTAN","16"
"07/08/2022","BRONX","1"
"10/04/2024","STATEN ISLAND","7"
"01/17/2019","BRONX","38"
"10/26/2018","STATEN ISLAND","2"
"10/09/2019","STATEN ISLAND","3"
"12/06/2019","STATEN ISLAND","5"
"08/01/2017","QUEENS","7"
"08/08/2019","BROOKLYN","4"
"10/05/2023","MANHATTAN","25"
"04/22/2025","MANHATTAN","23"
"04/13/2018","MANHATTAN","8"
"04/12/2024","STATEN ISLAND","3"
"08/19/2022","STATEN ISLAND","1"
"04/24/2017","MANHATTAN","15"
"06/09/2017","QUEENS","25"
"03/29/2018","STATEN ISLAND","4"
"05/07/2024","QUEENS","4"
"09/20/2017","BROOKLYN","21"
"11/21/2017","BRONX","47"
"10/05/2017","BROOKLYN","21"
"05/24/2018","QUEENS","9"
"01/24/2025","MANHATTAN","7"
"10/12/2017","BRONX","39"
"06/26/2019","BRONX","15"
"08/17/2017","MANHATTAN","11"
"11/07/2024","MANHATTAN","27"
"12/11/2018","STATEN ISLAND","1"
"03/26/2018","STATEN ISLAND","1"
"07/24/2024","QUEENS","30"
"09/11/2017","QUEENS","26"
"10/19/2018","STATEN ISLAND","5"
"12/13/2022","BRONX","9"
"04/01/2022","MANHATTAN","1"
"05/02/2022","BRONX","6"
"07/10/2024","MANHATTAN","16"
"09/26/2019","BROOKLYN","12"
"08/09/2023","BRONX","32"
"09/08/2017","QUEENS","10"
"07/11/2023","QUEENS","9"
"09/13/2017","BROOKLYN","29"
"07/14/2022","MANHATTAN","3"
"03/13/2025","QUEENS","7"
"04/28/2022","BROOKLYN","5"
"02/01/2024","QUEENS","4"
"09/03/2024","MANHATTAN","17"
"05/16/2018","BRONX","39"
"09/04/2019","BROOKLYN","40"
"03/04/2022","BROOKLYN","7"
"08/12/2022","BRONX","3"
"06/24/2019","QUEENS","12"
"05/16/2023","QUEENS","16"
"03/23/2022","BROOKLYN","6"
"11/20/2017","BROOKLYN","38"
"05/24/2023","MANHATTAN","9"
"09/29/2017","BRONX","27"
"06/12/2023","BRONX","16"
"09/19/2022","STATEN ISLAND","1"
"06/21/2019","MANHATTAN","18"
"04/29/2024","BROOKLYN","10"
"11/29/2018","QUEENS","5"
"05/17/2022","MANHATTAN","1"
"04/23/2018","BRONX","29"
"06/20/2017","MANHATTAN","12"
"05/25/2018","MANHATTAN","12"
"03/05/2018","BRONX","21"
"09/17/2025","BROOKLYN","14"
"07/11/2025","QUEENS","43"
"05/22/2019","STATEN ISLAND","1"
"07/13/2023","MANHATTAN","19"
"03/16/2023","BRONX","24"
"11/12/2019","BRONX","22"
"05/05/2025","QUEENS","4"
"06/06/2024","BRONX","27"
"08/25/2017","BRONX","29"
"10/31/2023","BROOKLYN","7"
"06/05/2017","STATEN ISLAND","1"
"02/18/2022","BRONX","2"
"08/20/2018","MANHATTAN","16"
"09/26/2022","QUEENS","11"
"05/14/2025","MANHATTAN","5"
"05/11/2017","BROOKLYN","25"
"04/19/2022","BRONX","4"
"04/20/2017","BROOKLYN","33"
"10/10/2025","QUEENS","38"
"03/18/2024","QUEENS","16"
"09/11/2024","QUEENS","18"
"11/03/2023","BRONX","6"
"03/17/2017","QUEENS","26"
"07/15/2022","MANHATTAN","2"
"08/09/2017","STATEN ISLAND","2"
"08/20/2018","STATEN ISLAND","1"
"09/19/2018","BROOKLYN","10"
"04/28/2025","BRONX","13"
"08/25/2023","STATEN ISLAND","5"
"07/19/2023","BROOKLYN","25"
"04/27/2018","BRONX","25"
"08/19/2025","QUEENS","28"
"02/25/2019","MANHATTAN","8"
"06/07/2019","BRONX","23"
"10/11/2017","MANHATTAN","21"
"04/20/2022","BROOKLYN","6"
"10/28/2022","MANHATTAN","9"
"07/16/2019","BRONX","38"
"09/12/2024","STATEN ISLAND","4"
"11/19/2018","BRONX","33"
"10/18/2017","BRONX","29"
"03/07/2019","MANHATTAN","11"
"05/02/2024","QUEENS","12"
"08/21/2025","BROOKLYN","3"
"09/28/2018","QUEENS","20"
"08/10/2023","BROOKLYN","13"
"10/01/2025","BRONX","34"
"01/05/2017","BRONX","52"
"01/13/2025","MANHATTAN","4"
