"CMPLNT_FR_DT","BORO_NM","count"
"10/28/2020","MANHATTAN","308"
"08/19/2013","STATEN ISLAND","60"
"01/16/2014","BRONX","284"
"07/11/2016","QUEENS","260"
"06/25/2022","BROOKLYN","443"
"05/04/2004","QUEENS","5"
"02/22/2010","MANHATTAN","291"
"10/17/2012","MANHATTAN","370"
"07/20/2003","QUEENS","1"
"08/27/2007","QUEENS","325"
"02/27/2015","MANHATTAN","329"
"08/08/2024","MANHATTAN","365"
"10/10/2021","(null)","1"
"11/01/2015","BRONX","309"
"11/06/2008","QUEENS","292"
"11/13/2013","BROOKLYN","397"
"03/23/2015","STATEN ISLAND","54"
"04/02/2018","STATEN ISLAND","53"
"08/27/2014","MANHATTAN","336"
"07/06/2006","QUEENS","290"
"08/02/2014","STATEN ISLAND","75"
"09/24/2009","BRONX","345"
"05/01/2012","QUEENS","346"
"11/19/2023","BRONX","317"
"12/27/1960","BRONX","1"
"03/04/2017","QUEENS","224"
"12/15/2004","BROOKLYN","1"
"02/16/2020","BRONX","241"
"10/27/2020","BRONX","294"
"02/07/2008","BROOKLYN","405"
"01/19/2012","BROOKLYN","439"
"12/18/2023","(null)","1"
"07/04/2000","QUEENS","2"
"05/12/2019","BRONX","233"
"04/16/2020","BROOKLYN","205"
"12/12/2016","STATEN ISLAND","59"
"01/04/2000","BROOKLYN","1"
"06/23/2018","QUEENS","264"
"07/14/2020","STATEN ISLAND","49"
"08/10/2007","STATEN ISLAND","77"
"11/24/2013","BRONX","204"
"09/06/2022","MANHATTAN","349"
"07/09/2008","MANHATTAN","335"
"11/13/2017","QUEENS","259"
"02/08/2006","STATEN ISLAND","62"
"07/11/2023","BROOKLYN","428"
"02/19/2002","BROOKLYN","1"
"03/31/2007","STATEN ISLAND","59"
"03/24/2015","BRONX","244"
"05/13/2020","MANHATTAN","192"
"12/17/2001","STATEN ISLAND","1"
"02/23/2011","STATEN ISLAND","71"
"03/30/2017","QUEENS","222"
"08/29/2021","MANHATTAN","274"
"12/21/2023","QUEENS","354"
"10/07/2007","STATEN ISLAND","88"
"09/11/2019","STATEN ISLAND","77"
"08/27/2024","QUEENS","348"
