"CMPLNT_FR_DT","BORO_NM","count"
"05/01/1999","BROOKLYN","5"
"01/03/2022","BRONX","256"
"09/13/2020","MANHATTAN","267"
"06/06/2015","STATEN ISLAND","77"
"01/02/2002","BROOKLYN","5"
"06/29/2023","(null)","2"
"02/25/2023","STATEN ISLAND","46"
"04/22/2024","QUEENS","332"
"06/23/2013","BROOKLYN","395"
"02/22/2010","STATEN ISLAND","58"
"06/24/2014","QUEENS","257"
"08/14/2011","QUEENS","226"
"12/02/2021","BRONX","322"
"10/08/1017","QUEENS","1"
"08/08/2000","BRONX","1"
"11/09/2015","QUEENS","221"
"01/14/2022","(null)","1"
"10/17/2001","BRONX","1"
"03/18/2022","BROOKLYN","426"
"08/05/2008","QUEENS","275"
"02/24/2021","QUEENS","245"
"07/06/2001","MANHATTAN","1"
"09/27/2021","BRONX","319"
"09/25/2014","STATEN ISLAND","66"
"04/08/2004","QUEENS","1"
"12/17/2023","QUEENS","355"
"11/18/2014","QUEENS","235"
"04/29/2015","QUEENS","280"
"03/26/2018","BRONX","286"
"02/12/2019","BROOKLYN","328"
"01/27/2012","BRONX","364"
"08/15/2019","BROOKLYN","406"
"07/11/2011","QUEENS","255"
"03/09/1982","QUEENS","1"
"01/05/2007","MANHATTAN","398"
"08/03/2014","MANHATTAN","268"
"11/04/2022","MANHATTAN","380"
"06/13/2022","QUEENS","382"
"06/07/2011","STATEN ISLAND","73"
"05/10/2000","BRONX","1"
"01/26/2022","QUEENS","276"
"12/27/2009","BROOKLYN","360"
"10/03/2003","BRONX","2"
"01/26/2010","MANHATTAN","316"
"01/26/2010","QUEENS","274"
"05/21/2020","STATEN ISLAND","46"
"03/04/2008","(null)","1"
"02/26/2008","STATEN ISLAND","53"
"10/16/2014","BROOKLYN","400"
"10/03/2014","BROOKLYN","425"
"08/23/2006","BRONX","350"
"02/04/2015","STATEN ISLAND","70"
"05/20/2013","MANHATTAN","282"
"06/24/2019","BRONX","269"
"04/28/2017","MANHATTAN","374"
"04/10/2016","STATEN ISLAND","66"
"06/04/2003","BRONX","2"
"09/08/2002","QUEENS","1"
"04/05/2020","QUEENS","153"
"10/08/2024","QUEENS","343"
"07/13/1993","BROOKLYN","1"
"06/10/2018","BRONX","249"
"08/02/2020","MANHATTAN","248"
"05/04/2022","BRONX","322"
"11/06/2010","QUEENS","313"
"04/25/2005","BROOKLYN","3"
"05/22/2003","BROOKLYN","1"
"11/22/2017","STATEN ISLAND","45"
"09/05/2011","BROOKLYN","406"
"11/20/2009","BRONX","393"
"05/21/1016","MANHATTAN","1"
"06/28/2004","QUEENS","1"
"10/30/2012","STATEN ISLAND","75"
"11/24/2012","MANHATTAN","297"
"08/31/2009","STATEN ISLAND","63"
"08/27/2009","MANHATTAN","399"
"10/29/2010","STATEN ISLAND","79"
"08/20/2012","MANHATTAN","366"
"04/04/2003","QUEENS","2"
"05/10/2012","STATEN ISLAND","61"
"07/08/2015","BRONX","317"
"07/29/2007","BRONX","320"
"01/23/2023","BROOKLYN","365"
"11/22/2011","BRONX","293"
"04/08/2008","QUEENS","265"
"03/20/2016","STATEN ISLAND","51"
"04/17/2015","MANHATTAN","329"
"10/27/2019","STATEN ISLAND","41"
"01/03/2016","STATEN ISLAND","38"
"02/19/2008","BROOKLYN","402"
"04/04/2001","QUEENS","1"
"08/01/2017","MANHATTAN","409"
"11/10/2003","MANHATTAN","1"
"05/28/2018","BROOKLYN","367"
"08/05/2012","MANHATTAN","296"
"10/29/2023","QUEENS","286"
"09/18/2008","MANHATTAN","407"
"10/09/2017","BRONX","274"
"04/19/2008","BROOKLYN","432"
"08/19/2018","MANHATTAN","289"
"02/03/2010","MANHATTAN","358"
"02/14/2002","BRONX","1"
"02/21/2022","QUEENS","241"
"06/26/2009","BROOKLYN","432"
"03/16/2005","STATEN ISLAND","2"
"06/19/2006","QUEENS","286"
"10/14/2006","QUEENS","295"
"02/21/2002","BROOKLYN","1"
"09/11/2018","QUEENS","248"
"06/27/2001","BRONX","1"
"03/30/2022","STATEN ISLAND","68"
"04/08/2023","STATEN ISLAND","47"
"08/10/2014","MANHATTAN","336"
"01/15/2008","MANHATTAN","366"
"08/17/2018","QUEENS","266"
"08/12/2023","QUEENS","340"
"01/13/2002","BROOKLYN","1"
"11/16/2006","QUEENS","314"
"12/02/2018","MANHATTAN","251"
"11/04/2011","STATEN ISLAND","79"
"12/24/2018","STATEN ISLAND","44"
"04/25/2021","BROOKLYN","263"
"04/25/2017","BROOKLYN","342"
"11/14/2015","BRONX","251"
"07/20/2012","BROOKLYN","461"
"09/18/2006","MANHATTAN","329"
"06/17/2018","BROOKLYN","372"
"12/19/2018","MANHATTAN","284"
"09/09/2014","MANHATTAN","325"
"05/18/2024","BRONX","348"
"09/24/2004","MANHATTAN","2"
"09/21/2018","QUEENS","278"
"12/19/2018","BROOKLYN","353"
"02/14/2010","STATEN ISLAND","43"
"08/15/2017","BRONX","272"
"02/17/2010","MANHATTAN","280"
"04/22/2006","BRONX","253"
"02/14/2007","MANHATTAN","247"
"09/26/2011","BRONX","304"
"02/28/2010","QUEENS","246"
"09/16/1015","QUEENS","1"
"10/21/2014","BROOKLYN","422"
"06/12/2012","BROOKLYN","445"
"11/24/2023","BRONX","368"
"12/13/2012","MANHATTAN","327"
"01/11/2015","BROOKLYN","298"
"03/30/2007","MANHATTAN","411"
"05/17/2007","BROOKLYN","495"
"01/02/2020","QUEENS","268"
"10/09/2021","QUEENS","264"
"10/31/2020","BRONX","264"
"09/29/2020","BRONX","242"
"08/11/2015","BROOKLYN","392"
"06/23/2011","BRONX","332"
"04/30/2015","STATEN ISLAND","69"
"02/12/2018","QUEENS","218"
"11/13/2003","BRONX","2"
"07/29/2022","QUEENS","321"
"09/14/2023","BROOKLYN","437"
"07/09/2024","STATEN ISLAND","63"
"03/01/2014","STATEN ISLAND","90"
"06/09/2007","QUEENS","301"
"03/13/2023","BROOKLYN","392"
"03/14/2007","BRONX","405"
"02/10/2006","MANHATTAN","410"
"02/01/2017","BRONX","334"
"05/26/2009","QUEENS","279"
"12/19/2012","MANHATTAN","336"
"11/26/2019","STATEN ISLAND","54"
"04/19/2008","QUEENS","272"
"10/20/2019","QUEENS","239"
"07/10/2014","QUEENS","288"
"07/16/2012","BROOKLYN","442"
"08/13/2011","BRONX","268"
"10/24/2016","MANHATTAN","288"
"03/17/2007","BRONX","217"
"03/23/2010","BRONX","310"
"07/27/2014","MANHATTAN","289"
"04/21/2018","STATEN ISLAND","49"
"03/27/2022","STATEN ISLAND","52"
"07/05/2011","BRONX","344"
"07/14/2000","MANHATTAN","1"
"08/19/2016","BRONX","296"
"05/26/2024","(null)","1"
"06/18/2012","BRONX","284"
"09/25/2024","(null)","2"
"06/28/2024","MANHATTAN","389"
"02/04/2019","STATEN ISLAND","52"
"09/15/2006","QUEENS","296"
"11/14/2008","QUEENS","280"
"04/28/2007","MANHATTAN","405"
"09/13/2017","STATEN ISLAND","69"
"11/01/2008","STATEN ISLAND","93"
"05/22/2011","BRONX","265"
"11/29/2021","(null)","5"
"09/05/2023","MANHATTAN","379"
"05/29/2018","STATEN ISLAND","84"
"10/13/2008","QUEENS","254"
"09/23/2003","BROOKLYN","2"
"06/13/2007","BROOKLYN","491"
"04/01/1968","BRONX","1"
"11/26/2022","BROOKLYN","401"
"07/13/2006","MANHATTAN","387"
"08/10/2023","BRONX","333"
"07/05/2006","QUEENS","317"
"02/14/2002","BROOKLYN","2"
"05/11/2017","BRONX","259"
"11/19/2023","(null)","1"
"09/30/2008","QUEENS","244"
"11/14/2014","MANHATTAN","335"
"08/22/2023","BRONX","355"
"04/30/2024","MANHATTAN","390"
"05/06/2010","BRONX","359"
"01/09/2021","BRONX","249"
"02/25/2007","MANHATTAN","307"
"12/02/2019","STATEN ISLAND","45"
"11/27/2024","QUEENS","314"
"10/14/2020","BRONX","275"
"07/19/2010","MANHATTAN","322"
"07/20/2005","BRONX","3"
"12/21/2004","MANHATTAN","4"
"04/01/2013","BROOKLYN","435"
"11/13/2016","MANHATTAN","282"
"03/15/2007","QUEENS","277"
"07/04/2024","QUEENS","333"
"01/28/2016","BROOKLYN","360"
"10/02/2009","BRONX","364"
"06/05/2015","BRONX","300"
"08/30/2016","STATEN ISLAND","70"
"04/19/2015","QUEENS","273"
"10/10/2016","BROOKLYN","378"
"01/07/2006","QUEENS","242"
"02/21/2015","QUEENS","229"
"06/21/2013","QUEENS","288"
"09/19/2006","BROOKLYN","463"
"07/07/2022","BRONX","335"
"12/13/2023","(null)","4"
"08/10/2014","BRONX","319"
"03/21/2011","STATEN ISLAND","48"
"05/25/2024","BROOKLYN","447"
"02/01/2000","BROOKLYN","9"
"05/27/2007","BRONX","252"
"01/13/2009","BRONX","344"
"12/21/2004","BRONX","3"
"06/10/2009","MANHATTAN","388"
"07/30/2014","QUEENS","291"
"05/28/2017","BRONX","323"
"06/22/2011","STATEN ISLAND","86"
"02/13/2012","BRONX","254"
"01/01/2002","MANHATTAN","31"
"05/16/2007","MANHATTAN","362"
"07/12/2016","BRONX","275"
"12/10/2004","BRONX","3"
"03/30/2015","STATEN ISLAND","51"
"07/15/2008","BROOKLYN","461"
"11/10/2015","STATEN ISLAND","68"
"03/17/1972","QUEENS","1"
"10/31/2022","STATEN ISLAND","67"
"07/28/2002","BROOKLYN","2"
"04/23/2016","BRONX","340"
"08/24/1996","BROOKLYN","2"
"07/05/2005","QUEENS","6"
"04/07/2009","STATEN ISLAND","69"
"09/05/2005","STATEN ISLAND","2"
"10/29/2020","STATEN ISLAND","43"
"11/24/2021","STATEN ISLAND","55"
"12/18/2019","BROOKLYN","329"
"08/23/2024","BRONX","338"
"01/26/2009","QUEENS","232"
"03/02/2008","STATEN ISLAND","79"
"04/26/2019","QUEENS","203"
"06/30/2023","BRONX","337"
"11/04/2024","BROOKLYN","439"
"05/12/2012","BROOKLYN","462"
"04/04/2007","STATEN ISLAND","68"
"08/03/2022","QUEENS","337"
"08/22/2000","QUEENS","1"
"03/16/2018","BRONX","277"
"12/30/2007","BRONX","232"
"11/16/2004","BROOKLYN","2"
"01/25/2019","QUEENS","253"
"12/04/2022","BRONX","294"
"07/12/2007","BROOKLYN","458"
"03/11/2005","QUEENS","1"
"04/23/2019","STATEN ISLAND","45"
"12/14/2022","BROOKLYN","473"
"04/21/2015","MANHATTAN","326"
"04/14/2001","MANHATTAN","1"
"12/13/2017","BRONX","249"
"01/11/2019","MANHATTAN","306"
"05/02/2016","QUEENS","252"
"07/04/2011","STATEN ISLAND","65"
"02/20/2011","STATEN ISLAND","52"
"07/17/2009","BROOKLYN","490"
"11/04/2016","STATEN ISLAND","63"
"09/17/2009","BROOKLYN","455"
"04/27/2009","BROOKLYN","418"
"09/10/2017","STATEN ISLAND","60"
"03/03/2003","BRONX","1"
"06/12/2018","STATEN ISLAND","62"
"03/18/2003","BRONX","1"
"09/30/2016","QUEENS","245"
"03/22/2011","QUEENS","265"
"01/10/2017","QUEENS","227"
"10/27/2014","MANHATTAN","286"
"12/20/2013","STATEN ISLAND","68"
"03/25/2012","BRONX","252"
"10/09/2013","QUEENS","320"
"10/26/2022","BROOKLYN","462"
"01/31/2022","STATEN ISLAND","45"
"12/29/2022","MANHATTAN","332"
"07/21/2016","MANHATTAN","367"
"08/03/2001","MANHATTAN","1"
"08/14/2006","QUEENS","307"
"03/15/2018","BROOKLYN","402"
"01/09/2015","BROOKLYN","334"
"04/05/2013","MANHATTAN","353"
"02/07/2020","BRONX","284"
"12/10/2016","BRONX","280"
"08/06/2006","QUEENS","263"
"09/02/2011","BRONX","285"
"10/30/2010","BRONX","255"
"10/04/2017","BRONX","309"
"10/06/2008","BRONX","275"
"04/07/2006","BRONX","306"
"08/02/2006","STATEN ISLAND","70"
"12/10/2013","STATEN ISLAND","63"
"06/24/2004","BRONX","2"
"09/14/2011","MANHATTAN","376"
"12/20/2021","STATEN ISLAND","42"
"07/03/2022","(null)","2"
"03/17/2024","STATEN ISLAND","72"
"04/17/2010","MANHATTAN","327"
"06/21/2009","QUEENS","257"
"01/27/2003","BROOKLYN","1"
"07/28/2017","STATEN ISLAND","53"
"05/12/1941","QUEENS","1"
"07/27/2006","BRONX","319"
"01/14/2010","STATEN ISLAND","62"
"06/14/2018","BROOKLYN","390"
"08/16/2014","BROOKLYN","465"
"04/12/2005","MANHATTAN","2"
"12/14/2011","BROOKLYN","411"
"02/09/2008","MANHATTAN","370"
"12/15/2006","MANHATTAN","434"
"01/02/2021","STATEN ISLAND","40"
"10/28/2018","STATEN ISLAND","52"
"11/15/2010","BROOKLYN","434"
"10/29/2008","(null)","11"
"09/14/2005","MANHATTAN","4"
"02/24/2018","MANHATTAN","314"
"11/06/2011","MANHATTAN","287"
"06/08/2002","BROOKLYN","1"
"05/10/2016","BRONX","297"
"12/31/2015","BRONX","245"
"10/04/2019","BROOKLYN","374"
"04/27/2010","(null)","3"
"04/10/2006","BROOKLYN","499"
"12/17/2019","BROOKLYN","337"
"04/18/2020","BRONX","205"
"02/12/2024","QUEENS","362"
"12/19/2016","MANHATTAN","278"
"03/27/2008","QUEENS","301"
"10/28/2008","BRONX","238"
"05/08/2012","BROOKLYN","450"
"10/30/2020","MANHATTAN","286"
"04/28/1990","BRONX","1"
"07/09/2015","MANHATTAN","329"
"07/25/1980","MANHATTAN","1"
"04/07/2013","QUEENS","235"
"10/23/2010","MANHATTAN","371"
"07/04/2004","MANHATTAN","1"
"03/14/2023","BROOKLYN","387"
"02/25/2011","BROOKLYN","409"
"12/14/2011","QUEENS","276"
"06/17/2007","STATEN ISLAND","70"
"05/06/2020","MANHATTAN","186"
"01/27/2008","STATEN ISLAND","46"
"12/13/2020","QUEENS","275"
"01/26/2017","STATEN ISLAND","66"
"10/18/2021","QUEENS","279"
"05/10/2021","MANHATTAN","290"
"07/22/2016","BRONX","316"
"12/07/2009","BROOKLYN","391"
"10/10/1017","BROOKLYN","1"
"09/02/2012","STATEN ISLAND","65"
"08/23/2015","QUEENS","264"
"09/19/2017","STATEN ISLAND","61"
"06/02/2000","BRONX","1"
"08/05/2011","STATEN ISLAND","60"
"08/05/2017","STATEN ISLAND","49"
"11/24/2008","STATEN ISLAND","71"
"06/28/2005","BRONX","2"
"04/26/2014","BRONX","302"
"01/07/2003","BROOKLYN","2"
"10/16/1972","BROOKLYN","1"
"03/04/2013","QUEENS","252"
"12/27/2010","STATEN ISLAND","21"
"06/26/2006","QUEENS","293"
"10/03/2016","MANHATTAN","314"
"09/18/2002","QUEENS","2"
"10/29/2023","(null)","4"
"07/26/2017","QUEENS","266"
"01/28/2006","MANHATTAN","339"
"05/13/2013","STATEN ISLAND","62"
"09/25/2009","MANHATTAN","414"
"07/31/2008","MANHATTAN","375"
"01/18/2008","BRONX","377"
"11/05/2005","BRONX","10"
"04/13/2011","BROOKLYN","429"
"12/06/2007","BRONX","335"
"07/25/2020","STATEN ISLAND","50"
"10/19/2013","QUEENS","301"
"10/21/2007","BRONX","276"
"06/05/2013","BROOKLYN","470"
"07/12/2020","QUEENS","288"
"12/07/2002","MANHATTAN","2"
"03/09/2009","MANHATTAN","295"
"06/25/2024","QUEENS","358"
"08/12/2024","BRONX","317"
"04/12/2007","BROOKLYN","380"
"01/12/2024","BRONX","362"
"07/16/2016","STATEN ISLAND","65"
"03/06/2010","MANHATTAN","369"
"08/02/2001","QUEENS","1"
"02/01/2002","MANHATTAN","7"
"06/01/2001","BRONX","15"
"07/08/2023","STATEN ISLAND","60"
"08/15/2019","BRONX","338"
"02/22/2018","STATEN ISLAND","51"
"10/02/2009","STATEN ISLAND","69"
"06/04/2018","BRONX","288"
"02/23/2012","BRONX","294"
"05/28/2014","MANHATTAN","405"
"12/22/2007","BROOKLYN","367"
"03/28/2007","BROOKLYN","473"
"09/24/2024","MANHATTAN","384"
"09/26/2010","BRONX","304"
"12/08/2018","QUEENS","277"
"01/01/1978","STATEN ISLAND","1"
"03/10/2017","MANHATTAN","320"
"12/16/2023","BRONX","331"
"08/01/2006","MANHATTAN","415"
"08/17/2021","BRONX","257"
"09/05/2022","BRONX","325"
"08/10/2003","BROOKLYN","2"
"06/22/2015","QUEENS","293"
"11/12/2010","BROOKLYN","485"
"08/01/2014","QUEENS","405"
"06/15/2010","BRONX","342"
"08/04/2018","BROOKLYN","407"
"12/01/2014","BRONX","303"
"08/02/2005","BROOKLYN","3"
"06/07/2006","MANHATTAN","316"
"04/12/2010","BROOKLYN","415"
"04/11/2013","MANHATTAN","342"
"10/05/2005","QUEENS","9"
"07/15/2021","BROOKLYN","427"
"05/21/2015","BRONX","250"
"06/09/2000","QUEENS","1"
"02/05/2007","BRONX","247"
"08/30/2014","STATEN ISLAND","93"
"10/22/2004","QUEENS","1"
"07/14/1979","BROOKLYN","1"
"11/04/2021","BRONX","315"
"05/12/1012","BRONX","1"
"11/06/2010","STATEN ISLAND","58"
"07/11/2015","QUEENS","337"
"01/21/2015","QUEENS","221"
"12/22/2024","QUEENS","265"
"08/16/2008","BROOKLYN","437"
"08/01/2011","STATEN ISLAND","73"
"10/31/2005","BROOKLYN","19"
"10/23/2003","BROOKLYN","2"
"12/07/2020","BRONX","219"
"04/25/2018","QUEENS","250"
"09/10/2022","(null)","3"
"08/30/2001","STATEN ISLAND","1"
"03/17/2022","MANHATTAN","413"
"10/13/2000","MANHATTAN","1"
"03/15/2015","MANHATTAN","261"
"07/21/2017","QUEENS","244"
"09/15/2021","QUEENS","321"
"10/08/2005","BRONX","3"
"12/03/2022","STATEN ISLAND","52"
"05/13/2007","MANHATTAN","290"
"05/10/2007","MANHATTAN","376"
"01/09/2006","STATEN ISLAND","62"
"10/02/1997","QUEENS","1"
"06/26/2002","BRONX","1"
"04/11/2006","MANHATTAN","338"
"10/10/2024","MANHATTAN","393"
"11/28/2009","BROOKLYN","398"
"10/27/2012","BRONX","273"
"12/17/2014","MANHATTAN","310"
"10/25/2012","BROOKLYN","423"
"08/29/2015","MANHATTAN","379"
"11/18/2022","(null)","7"
"03/27/2020","STATEN ISLAND","41"
"01/18/2009","STATEN ISLAND","51"
"03/23/2005","QUEENS","3"
"11/13/2020","(null)","1"
"09/21/2016","BRONX","281"
"05/20/2001","QUEENS","1"
"04/02/2024","STATEN ISLAND","56"
"05/15/2020","MANHATTAN","238"
"08/13/2021","(null)","4"
"08/23/2010","MANHATTAN","290"
"07/31/2005","QUEENS","3"
"11/01/2020","BRONX","309"
"12/25/2024","QUEENS","209"
"05/25/2008","BROOKLYN","387"
"01/29/2021","QUEENS","221"
"11/14/2010","MANHATTAN","293"
"06/23/2005","BRONX","3"
"04/02/2003","QUEENS","2"
"01/26/2021","MANHATTAN","261"
"02/26/2022","BROOKLYN","327"
"06/09/1999","QUEENS","1"
"04/01/2007","QUEENS","335"
"11/18/2009","MANHATTAN","376"
"04/17/2013","BRONX","310"
"12/12/2004","BRONX","1"
"02/23/2005","BROOKLYN","3"
"03/06/2021","STATEN ISLAND","47"
"10/08/2014","BRONX","309"
"02/25/2008","STATEN ISLAND","57"
"10/20/2015","QUEENS","277"
"09/05/2019","BROOKLYN","378"
"11/17/2013","QUEENS","319"
"12/08/2010","BROOKLYN","369"
"04/22/1968","STATEN ISLAND","1"
"03/24/2015","BROOKLYN","377"
"08/04/2022","BRONX","313"
"03/29/2018","BROOKLYN","392"
"10/27/2021","(null)","2"
"08/07/2011","STATEN ISLAND","63"
"09/06/2012","(null)","1"
"04/28/2011","BRONX","284"
"05/29/2017","STATEN ISLAND","47"
"04/29/2017","QUEENS","271"
"08/05/2024","STATEN ISLAND","49"
"02/11/2017","MANHATTAN","300"
"05/09/2016","BROOKLYN","403"
"01/29/2020","BRONX","292"
"01/03/2022","MANHATTAN","286"
"04/27/2010","BROOKLYN","427"
"02/19/2011","MANHATTAN","300"
"09/11/2009","BRONX","304"
"06/30/2024","STATEN ISLAND","51"
"01/18/2006","BROOKLYN","437"
"01/02/2013","QUEENS","239"
"06/05/2015","QUEENS","320"
"07/07/2018","BROOKLYN","420"
"02/07/2017","BROOKLYN","353"
"09/06/2011","BROOKLYN","369"
"12/24/2005","MANHATTAN","37"
"11/18/2018","BROOKLYN","364"
"11/27/2005","BROOKLYN","8"
"11/08/2006","BRONX","249"
"11/15/2010","STATEN ISLAND","63"
"01/01/1992","BRONX","8"
"09/28/2021","BRONX","275"
"08/16/2019","BROOKLYN","403"
"04/20/2024","QUEENS","344"
"01/01/1993","BROOKLYN","7"
"09/29/2011","BRONX","310"
"11/09/2015","STATEN ISLAND","60"
"08/22/2015","BRONX","345"
"08/01/2015","BRONX","376"
"12/11/2015","STATEN ISLAND","62"
"11/15/2006","BROOKLYN","466"
"12/29/2016","BRONX","256"
"11/05/2020","QUEENS","247"
"01/31/2018","MANHATTAN","311"
"06/10/2001","QUEENS","1"
"01/16/2018","STATEN ISLAND","44"
"07/04/2009","BROOKLYN","471"
"01/03/2006","BROOKLYN","406"
"08/06/1999","QUEENS","1"
"03/11/2007","MANHATTAN","313"
"03/29/2020","MANHATTAN","145"
"01/11/2009","STATEN ISLAND","44"
"05/28/2009","QUEENS","267"
"02/12/2013","STATEN ISLAND","50"
"04/13/2017","MANHATTAN","343"
"05/23/2008","MANHATTAN","439"
"10/08/2003","BROOKLYN","1"
"06/10/2016","QUEENS","287"
"03/24/2008","BRONX","270"
"11/01/2004","MANHATTAN","7"
"12/07/2004","BROOKLYN","1"
"07/10/2010","BROOKLYN","497"
"07/13/2005","BROOKLYN","1"
"10/20/2014","QUEENS","277"
"06/05/2022","BRONX","311"
"06/13/2024","(null)","1"
"11/25/2003","MANHATTAN","1"
"01/04/1992","BROOKLYN","1"
"04/18/2009","STATEN ISLAND","55"
"10/24/2002","QUEENS","1"
"09/14/2013","MANHATTAN","339"
"03/18/2003","MANHATTAN","2"
"12/20/2015","QUEENS","251"
"05/15/2018","STATEN ISLAND","52"
"04/13/2023","(null)","2"
"11/01/2004","BROOKLYN","25"
"12/04/2022","(null)","3"
"08/19/2015","QUEENS","283"
"02/21/2021","BROOKLYN","304"
"04/22/2015","BROOKLYN","377"
"09/04/2011","BRONX","285"
"08/12/1950","QUEENS","1"
"10/24/2003","BRONX","1"
"02/08/2006","BROOKLYN","397"
"07/11/2020","STATEN ISLAND","41"
"06/15/2006","STATEN ISLAND","80"
"10/31/2020","MANHATTAN","262"
"08/19/2021","(null)","5"
"07/08/2019","QUEENS","249"
"08/26/2018","BROOKLYN","385"
"07/04/2015","STATEN ISLAND","71"
"10/04/2013","STATEN ISLAND","80"
"11/01/1993","BROOKLYN","1"
"11/05/2017","BRONX","281"
"03/17/2016","BROOKLYN","384"
"01/29/2020","STATEN ISLAND","54"
"05/06/2014","QUEENS","316"
"10/20/2018","BRONX","279"
"11/17/2013","STATEN ISLAND","67"
"12/04/2017","QUEENS","264"
"10/16/2012","QUEENS","264"
"05/07/2006","QUEENS","285"
"02/22/2007","BROOKLYN","355"
"08/01/2013","BROOKLYN","475"
"12/14/1990","BRONX","1"
"07/01/2007","QUEENS","404"
"03/04/2010","MANHATTAN","302"
"12/23/2023","BROOKLYN","402"
"02/10/2010","STATEN ISLAND","45"
"07/12/2000","BRONX","1"
"03/02/2007","QUEENS","319"
"07/16/2008","BROOKLYN","441"
"10/23/2007","(null)","2"
"06/25/2016","MANHATTAN","326"
"05/09/2022","STATEN ISLAND","58"
"04/24/2022","(null)","1"
"02/06/2005","MANHATTAN","1"
"08/04/2013","BRONX","262"
"02/18/2020","STATEN ISLAND","61"
"05/12/2013","QUEENS","289"
"10/29/2022","(null)","2"
"01/01/1995","BRONX","5"
"07/03/1021","BRONX","1"
"09/10/2010","QUEENS","293"
"11/27/2004","MANHATTAN","2"
"06/22/2018","MANHATTAN","360"
"08/11/2021","MANHATTAN","326"
"04/14/2008","QUEENS","255"
"09/14/2022","MANHATTAN","411"
"02/16/2005","BRONX","3"
"01/21/2015","BROOKLYN","380"
"05/07/2023","MANHATTAN","330"
"06/04/1990","BROOKLYN","1"
"11/26/2014","QUEENS","270"
"12/03/2010","MANHATTAN","365"
"01/15/2009","BRONX","313"
"09/17/2014","QUEENS","265"
"08/25/2015","MANHATTAN","337"
"03/27/2018","QUEENS","218"
"06/12/2005","BROOKLYN","1"
"12/04/2015","MANHATTAN","345"
"04/18/2008","STATEN ISLAND","88"
"06/02/2006","BRONX","279"
"02/04/2003","BROOKLYN","2"
"04/03/2012","STATEN ISLAND","55"
"04/14/2022","(null)","3"
"09/14/1017","MANHATTAN","1"
"04/28/2016","QUEENS","271"
"03/17/2010","QUEENS","274"
"04/25/2017","QUEENS","223"
"12/30/2023","MANHATTAN","359"
"05/14/2020","MANHATTAN","238"
"07/24/2015","QUEENS","296"
"06/09/2004","QUEENS","1"
"10/13/2019","STATEN ISLAND","43"
"01/30/2011","QUEENS","225"
"09/08/1998","BROOKLYN","1"
"10/01/2007","BROOKLYN","543"
"09/05/2011","BRONX","268"
"05/25/2024","STATEN ISLAND","66"
"02/24/2022","MANHATTAN","360"
"02/06/2009","BRONX","307"
"05/01/2010","BRONX","366"
"12/12/2022","MANHATTAN","342"
"09/07/2023","(null)","3"
"10/30/2019","QUEENS","254"
"08/04/2006","BRONX","318"
"07/09/2005","BROOKLYN","2"
"09/19/2007","(null)","1"
"07/19/2020","STATEN ISLAND","34"
"09/14/2020","QUEENS","287"
"11/09/2010","MANHATTAN","334"
"09/19/2012","BROOKLYN","422"
"08/06/2021","BRONX","251"
"01/30/2023","STATEN ISLAND","57"
"01/15/2010","BRONX","369"
"01/10/2023","BRONX","310"
"05/09/2012","MANHATTAN","367"
"12/07/2023","QUEENS","308"
"07/30/2003","BROOKLYN","1"
"06/16/2004","QUEENS","2"
"06/22/2016","BRONX","314"
"08/15/2024","(null)","6"
"01/09/2006","QUEENS","304"
"10/06/2015","BROOKLYN","429"
"12/03/2014","BRONX","282"
"03/01/2015","BRONX","271"
"12/14/2016","BRONX","308"
"06/05/2006","STATEN ISLAND","73"
"09/20/2020","BROOKLYN","323"
"10/17/2013","QUEENS","292"
"11/28/2012","QUEENS","266"
"02/12/2000","QUEENS","1"
"08/05/2015","BROOKLYN","494"
"06/09/2009","BRONX","325"
"04/04/2019","MANHATTAN","316"
"05/07/2013","BRONX","284"
"07/28/2020","BROOKLYN","370"
"03/09/2023","BRONX","328"
"05/14/2003","BROOKLYN","1"
"01/16/2010","BRONX","304"
"10/21/2001","BROOKLYN","1"
"08/24/2024","BROOKLYN","445"
"03/02/2016","QUEENS","252"
"05/30/2024","MANHATTAN","398"
"01/10/2008","MANHATTAN","400"
"07/24/2009","QUEENS","289"
"10/25/2011","STATEN ISLAND","65"
"12/18/2019","QUEENS","245"
"05/24/2009","QUEENS","236"
"03/21/2003","BRONX","2"
"10/02/2016","QUEENS","248"
"06/13/2021","BROOKLYN","328"
"01/14/2001","QUEENS","1"
"10/10/1990","BRONX","1"
"09/07/2020","BRONX","256"
"07/07/2018","QUEENS","251"
"04/05/2023","MANHATTAN","332"
"06/17/2024","(null)","4"
"05/07/2011","QUEENS","244"
"09/02/2017","QUEENS","272"
"07/14/2018","STATEN ISLAND","67"
"06/22/2021","QUEENS","217"
"07/31/2024","(null)","1"
"09/19/2013","BRONX","331"
"11/12/2016","BRONX","253"
"07/04/2013","STATEN ISLAND","74"
"01/01/2012","QUEENS","522"
"08/22/2022","STATEN ISLAND","75"
"12/06/2020","BROOKLYN","287"
"05/22/2016","BRONX","269"
"06/17/2016","STATEN ISLAND","70"
"02/14/2016","STATEN ISLAND","45"
"06/03/2007","BROOKLYN","374"
"09/19/2015","BROOKLYN","444"
"10/31/2014","BRONX","341"
"09/25/2006","BRONX","369"
"12/21/2009","QUEENS","197"
"08/07/2016","BROOKLYN","416"
"06/03/2002","BRONX","1"
"02/12/2007","QUEENS","261"
